original_index,review_text,review_text_processed,review_text_tokenized,polarity,rating,kfold_polarity,kfold_rating
0_362582,"O produto atendeu minhas expectativas e achei o manuseio muito fácil. Foi minha primeira camera DSLR e em poucas horas já dominava a operação da mesma. A tela touch auxilia o usuário em várias configurações e oferece o live-view que permite, dentre outras coisas, focar no ponto onde foi tocado na tela (como os celulares). As gravações de vídeo são de ótima qualidade, sendo esse o ponto mais forte em relação a concorrência. A qualidade da imagem é muito boa, porém o sensor de 18MP perde para algumas concorrentes em termos de cores e ruído, nada que afete muito. Recomendo a compra do conjunto com 135mm pois possui maior flexibilidade para fotografar e filmar, e ainda, se a lente for STM, ainda pode gravar vídeos com foco automático sem o barulho da lente.

O que gostei: Utilização otimizada para usuários inexperientes. Tela touch sensivel e prática. Gravação de vídeos com tecla dedicada e com entrada para microfone externo. Lentes STM para auto-foco silencioso durante as gravações.

O que não gostei: Preço, qualidade da imagem levemente inferior a alguns modelos da Nikon (ex: D3200), duração da bateria.","o produto atendeu minhas expectativas e achei o manuseio muito facil. foi minha primeira camera dslr e em poucas horas ja dominava a operacao da mesma. a tela touch auxilia o usuario em varias configuracoes e oferece o live-view que permite, dentre outras coisas, focar no ponto onde foi tocado na tela (como os celulares). as gravacoes de video sao de otima qualidade, sendo esse o ponto mais forte em relacao a concorrencia. a qualidade da imagem e muito boa, porem o sensor de 18mp perde para algumas concorrentes em termos de cores e ruido, nada que afete muito. recomendo a compra do conjunto com 135mm pois possui maior flexibilidade para fotografar e filmar, e ainda, se a lente for stm, ainda pode gravar videos com foco automatico sem o barulho da lente.

o que gostei: utilizacao otimizada para usuarios inexperientes. tela touch sensivel e pratica. gravacao de videos com tecla dedicada e com entrada para microfone externo. lentes stm para auto-foco silencioso durante as gravacoes.

o que nao gostei: preco, qualidade da imagem levemente inferior a alguns modelos da nikon (ex: d3200), duracao da bateria.","['produto', 'atendeu', 'minhas', 'expectativas', 'achei', 'manuseio', 'muito', 'facil', 'foi', 'minha', 'primeira', 'camera', 'dslr', 'em', 'poucas', 'horas', 'ja', 'dominava', 'operacao', 'da', 'mesma', 'tela', 'touch', 'auxilia', 'usuario', 'em', 'varias', 'configuracoes', 'oferece', 'live', 'view', 'que', 'permite', 'dentre', 'outras', 'coisas', 'focar', 'no', 'ponto', 'onde', 'foi', 'tocado', 'na', 'tela', 'como', 'os', 'celulares', 'as', 'gravacoes', 'de', 'video', 'sao', 'de', 'otima', 'qualidade', 'sendo', 'esse', 'ponto', 'mais', 'forte', 'em', 'relacao', 'concorrencia', 'qualidade', 'da', 'imagem', 'muito', 'boa', 'porem', 'sensor', 'de', '18mp', 'perde', 'para', 'algumas', 'concorrentes', 'em', 'termos', 'de', 'cores', 'ruido', 'nada', 'que', 'afete', 'muito', 'recomendo', 'compra', 'do', 'conjunto', 'com', '135mm', 'pois', 'possui', 'maior', 'flexibilidade', 'para', 'fotografar', 'filmar', 'ainda', 'se', 'lente', 'for', 'stm', 'ainda', 'pode', 'gravar', 'videos', 'com', 'foco', 'automatico', 'sem', 'barulho', 'da', 'lente', 'que', 'gostei', 'utilizacao', 'otimizada', 'para', 'usuarios', 'inexperientes', 'tela', 'touch', 'sensivel', 'pratica', 'gravacao', 'de', 'videos', 'com', 'tecla', 'dedicada', 'com', 'entrada', 'para', 'microfone', 'externo', 'lentes', 'stm', 'para', 'auto', 'foco', 'silencioso', 'durante', 'as', 'gravacoes', 'que', 'nao', 'gostei', 'preco', 'qualidade', 'da', 'imagem', 'levemente', 'inferior', 'alguns', 'modelos', 'da', 'nikon', 'ex', 'd3200', 'duracao', 'da', 'bateria']",,3,-1,4
0_457941,"Ótima qualidade de imagem, detecta imagens super definidas","otima qualidade de imagem, detecta imagens super definidas","['otima', 'qualidade', 'de', 'imagem', 'detecta', 'imagens', 'super', 'definidas']",1.0,5,4,4
5_368694,"Aparelho de boa qualidade, compacto e com bom processador. Pena que não tem entrada para expansão de memória.

O que gostei: Resolução do display, processador dual core e tamanho compacto.

O que não gostei: Pouca memória interna, sem possibilidade de expansão.","aparelho de boa qualidade, compacto e com bom processador. pena que nao tem entrada para expansao de memoria.

o que gostei: resolucao do display, processador dual core e tamanho compacto.

o que nao gostei: pouca memoria interna, sem possibilidade de expansao.","['aparelho', 'de', 'boa', 'qualidade', 'compacto', 'com', 'bom', 'processador', 'pena', 'que', 'nao', 'tem', 'entrada', 'para', 'expansao', 'de', 'memoria', 'que', 'gostei', 'resolucao', 'do', 'display', 'processador', 'dual', 'core', 'tamanho', 'compacto', 'que', 'nao', 'gostei', 'pouca', 'memoria', 'interna', 'sem', 'possibilidade', 'de', 'expansao']",,3,-1,1
1_141811,"Aparelho bonito, leve, estavel, completo e com boa bateria.
Um sonho de aparelho.
Adorei.

O que gostei: Ele não é um celular com camera.
Ele é um celular e camera.
Qualidade de imagem e video simplesmente excelente.


O que não gostei: O sistema Symbian continua menos amigavel do que o Android.","aparelho bonito, leve, estavel, completo e com boa bateria.
um sonho de aparelho.
adorei.

o que gostei: ele nao e um celular com camera.
ele e um celular e camera.
qualidade de imagem e video simplesmente excelente.


o que nao gostei: o sistema symbian continua menos amigavel do que o android.","['aparelho', 'bonito', 'leve', 'estavel', 'completo', 'com', 'boa', 'bateria', 'um', 'sonho', 'de', 'aparelho', 'adorei', 'que', 'gostei', 'ele', 'nao', 'um', 'celular', 'com', 'camera', 'ele', 'um', 'celular', 'camera', 'qualidade', 'de', 'imagem', 'video', 'simplesmente', 'excelente', 'que', 'nao', 'gostei', 'sistema', 'symbian', 'continua', 'menos', 'amigavel', 'do', 'que', 'android']",1.0,4,3,3
1_416388,"TV CCE COM MENOS DE 30 DIAS, JA NAO SINTONIZA NENHUM DOS CANAIS ( DTV, AR, CABO), OLHA QUE COMPREI 2 TVS,
NO DIA 28 DE DEZEMBRO 2012 COMPREI UMA TV LCD MODELO C390 DE 39"". no extra, loja fisica... instalei a tv e não pegava nenhum dos canais, tentei sintonizar novamente e nada, fiquei o dia todo tentando, apos eu ter deixado a tv na assistência técnica dia 27/01/2013 e nao teR peças para concerto, NO DIA 15/03/2013.  tive que voltar na loja onde comprei e trocar por outra, mas o maior problema é a falta de peças e uma resposta que a fabrica na te da, pois na me deram uma resposta sobre esse assunto, mas ja esta resolvida, só trocar por uma STI, de LED, agora a outra ainda ta funcionando, .... moral que comprei uma televisão nem tao mais barata, a diferença era de 400 , que tive que voltar na troca pela STI de 39 tambem, melhor ter esperado e comprado uma de marca melhor.... cce acho que nao mais....rezar para a de 42 nao dar pau, ou se for dar que seja dentro da garantia","tv cce com menos de 30 dias, ja nao sintoniza nenhum dos canais ( dtv, ar, cabo), olha que comprei 2 tvs,
no dia 28 de dezembro 2012 comprei uma tv lcd modelo c390 de 39"". no extra, loja fisica... instalei a tv e nao pegava nenhum dos canais, tentei sintonizar novamente e nada, fiquei o dia todo tentando, apos eu ter deixado a tv na assistencia tecnica dia 27/01/2013 e nao ter pecas para concerto, no dia 15/03/2013.  tive que voltar na loja onde comprei e trocar por outra, mas o maior problema e a falta de pecas e uma resposta que a fabrica na te da, pois na me deram uma resposta sobre esse assunto, mas ja esta resolvida, so trocar por uma sti, de led, agora a outra ainda ta funcionando, .... moral que comprei uma televisao nem tao mais barata, a diferenca era de 400 , que tive que voltar na troca pela sti de 39 tambem, melhor ter esperado e comprado uma de marca melhor.... cce acho que nao mais....rezar para a de 42 nao dar pau, ou se for dar que seja dentro da garantia","['tv', 'cce', 'com', 'menos', 'de', '30', 'dias', 'ja', 'nao', 'sintoniza', 'nenhum', 'dos', 'canais', 'dtv', 'ar', 'cabo', 'olha', 'que', 'comprei', 'tvs', 'no', 'dia', '28', 'de', 'dezembro', '2012', 'comprei', 'uma', 'tv', 'lcd', 'modelo', 'c390', 'de', '39', 'no', 'extra', 'loja', 'fisica', 'instalei', 'tv', 'nao', 'pegava', 'nenhum', 'dos', 'canais', 'tentei', 'sintonizar', 'novamente', 'nada', 'fiquei', 'dia', 'todo', 'tentando', 'apos', 'eu', 'ter', 'deixado', 'tv', 'na', 'assistencia', 'tecnica', 'dia', '27', '01', '2013', 'nao', 'ter', 'pecas', 'para', 'concerto', 'no', 'dia', '15', '03', '2013', 'tive', 'que', 'voltar', 'na', 'loja', 'onde', 'comprei', 'trocar', 'por', 'outra', 'mas', 'maior', 'problema', 'falta', 'de', 'pecas', 'uma', 'resposta', 'que', 'fabrica', 'na', 'te', 'da', 'pois', 'na', 'me', 'deram', 'uma', 'resposta', 'sobre', 'esse', 'assunto', 'mas', 'ja', 'esta', 'resolvida', 'so', 'trocar', 'por', 'uma', 'sti', 'de', 'led', 'agora', 'outra', 'ainda', 'ta', 'funcionando', 'moral', 'que', 'comprei', 'uma', 'televisao', 'nem', 'tao', 'mais', 'barata', 'diferenca', 'era', 'de', '400', 'que', 'tive', 'que', 'voltar', 'na', 'troca', 'pela', 'sti', 'de', '39', 'tambem', 'melhor', 'ter', 'esperado', 'comprado', 'uma', 'de', 'marca', 'melhor', 'cce', 'acho', 'que', 'nao', 'mais', 'rezar', 'para', 'de', '42', 'nao', 'dar', 'pau', 'ou', 'se', 'for', 'dar', 'que', 'seja', 'dentro', 'da', 'garantia']",0.0,1,3,3
minus_7_351977,"Forno com visual contemporâneo, preço compatível com os recursos e acabamento. Boa opção de compra.

O que gostei: Estou quase comprando este forno, tem todas as funções que necessito, além do fabricante ser bem conceituado

O que não gostei: Não possui prateleiras deslizantes","forno com visual contemporaneo, preco compativel com os recursos e acabamento. boa opcao de compra.

o que gostei: estou quase comprando este forno, tem todas as funcoes que necessito, alem do fabricante ser bem conceituado

o que nao gostei: nao possui prateleiras deslizantes","['forno', 'com', 'visual', 'contemporaneo', 'preco', 'compativel', 'com', 'os', 'recursos', 'acabamento', 'boa', 'opcao', 'de', 'compra', 'que', 'gostei', 'estou', 'quase', 'comprando', 'este', 'forno', 'tem', 'todas', 'as', 'funcoes', 'que', 'necessito', 'alem', 'do', 'fabricante', 'ser', 'bem', 'conceituado', 'que', 'nao', 'gostei', 'nao', 'possui', 'prateleiras', 'deslizantes']",,3,-1,4
2_383626,"Decidi comprar este produto ao comparar preço nas lojas e em outros sites. fiquei muito satisfeita e não tenho reclamações

O que gostei: compacto, não faz muito barulho e é fácil de manusear

O que não gostei: não tenho comentários contra","decidi comprar este produto ao comparar preco nas lojas e em outros sites. fiquei muito satisfeita e nao tenho reclamacoes

o que gostei: compacto, nao faz muito barulho e e facil de manusear

o que nao gostei: nao tenho comentarios contra","['decidi', 'comprar', 'este', 'produto', 'ao', 'comparar', 'preco', 'nas', 'lojas', 'em', 'outros', 'sites', 'fiquei', 'muito', 'satisfeita', 'nao', 'tenho', 'reclamacoes', 'que', 'gostei', 'compacto', 'nao', 'faz', 'muito', 'barulho', 'facil', 'de', 'manusear', 'que', 'nao', 'gostei', 'nao', 'tenho', 'comentarios', 'contra']",1.0,5,8,8
0_180568,"Custo benefício do produto dentro do esperado. Forma de pagamento excelente.

O que gostei: Facilidade de instalação e uso satisfatórios.
Imagem e definição dentro do esperado.

O que não gostei: Não tem conversor integrado.","custo beneficio do produto dentro do esperado. forma de pagamento excelente.

o que gostei: facilidade de instalacao e uso satisfatorios.
imagem e definicao dentro do esperado.

o que nao gostei: nao tem conversor integrado.","['custo', 'beneficio', 'do', 'produto', 'dentro', 'do', 'esperado', 'forma', 'de', 'pagamento', 'excelente', 'que', 'gostei', 'facilidade', 'de', 'instalacao', 'uso', 'satisfatorios', 'imagem', 'definicao', 'dentro', 'do', 'esperado', 'que', 'nao', 'gostei', 'nao', 'tem', 'conversor', 'integrado']",1.0,4,9,9
0_53115,"jessica  compara sim   meu  si m  gosto sim

O que gostei: oi tudo bom  vc  compara

O que não gostei: oiiiiiiiiiiiiiiiiiiii","jessica  compara sim   meu  si m  gosto sim

o que gostei: oi tudo bom  vc  compara

o que nao gostei: oiiiiiiiiiiiiiiiiiiii","['jessica', 'compara', 'sim', 'meu', 'si', 'gosto', 'sim', 'que', 'gostei', 'oi', 'tudo', 'bom', 'vc', 'compara', 'que', 'nao', 'gostei', 'oiiiiiiiiiiiiiiiiiiii']",1.0,5,5,5
0_464316,"É um celular com um custo benefício maravilhoso, atendendo a muitas necessidades do dia a dia .","e um celular com um custo beneficio maravilhoso, atendendo a muitas necessidades do dia a dia .","['um', 'celular', 'com', 'um', 'custo', 'beneficio', 'maravilhoso', 'atendendo', 'muitas', 'necessidades', 'do', 'dia', 'dia']",1.0,5,4,4
0_426665,"Apesar de ter lido em pelo menos 2 sites que o equipamento dispunha de processo de impressão em frente e verso, pude constatar depois ao manuseá-lo que isso não é possível, nem de maneira manual. Fiquei muito frustrado, por isso a minha avaliação como negativa nos quesitos facilidade de uso e funções e características, afinal trata-se de uma multifuncional HP.
Gostei muito de poder imprimir diretamente a partir do meu celular sem precisar nenhum software ou procedimento adicional.","apesar de ter lido em pelo menos 2 sites que o equipamento dispunha de processo de impressao em frente e verso, pude constatar depois ao manusea-lo que isso nao e possivel, nem de maneira manual. fiquei muito frustrado, por isso a minha avaliacao como negativa nos quesitos facilidade de uso e funcoes e caracteristicas, afinal trata-se de uma multifuncional hp.
gostei muito de poder imprimir diretamente a partir do meu celular sem precisar nenhum software ou procedimento adicional.","['apesar', 'de', 'ter', 'lido', 'em', 'pelo', 'menos', 'sites', 'que', 'equipamento', 'dispunha', 'de', 'processo', 'de', 'impressao', 'em', 'frente', 'verso', 'pude', 'constatar', 'depois', 'ao', 'manusea', 'lo', 'que', 'isso', 'nao', 'possivel', 'nem', 'de', 'maneira', 'manual', 'fiquei', 'muito', 'frustrado', 'por', 'isso', 'minha', 'avaliacao', 'como', 'negativa', 'nos', 'quesitos', 'facilidade', 'de', 'uso', 'funcoes', 'caracteristicas', 'afinal', 'trata', 'se', 'de', 'uma', 'multifuncional', 'hp', 'gostei', 'muito', 'de', 'poder', 'imprimir', 'diretamente', 'partir', 'do', 'meu', 'celular', 'sem', 'precisar', 'nenhum', 'software', 'ou', 'procedimento', 'adicional']",,3,-1,9
2_421766,"Bom desempenho, mas caro e ainda é feito de plástico. Prefiro o Motorola XT910 de Kevlar. Muito mais prático, fino, cabe no bolso. Não incomoda mesmo sentado ou em um bolso da camisa. No quesito telefonia, a Motorola é superior, daí a Samsung investir em gadgets e outras funcionalidades, pois perde em qualidade de sinal.","bom desempenho, mas caro e ainda e feito de plastico. prefiro o motorola xt910 de kevlar. muito mais pratico, fino, cabe no bolso. nao incomoda mesmo sentado ou em um bolso da camisa. no quesito telefonia, a motorola e superior, dai a samsung investir em gadgets e outras funcionalidades, pois perde em qualidade de sinal.","['bom', 'desempenho', 'mas', 'caro', 'ainda', 'feito', 'de', 'plastico', 'prefiro', 'motorola', 'xt910', 'de', 'kevlar', 'muito', 'mais', 'pratico', 'fino', 'cabe', 'no', 'bolso', 'nao', 'incomoda', 'mesmo', 'sentado', 'ou', 'em', 'um', 'bolso', 'da', 'camisa', 'no', 'quesito', 'telefonia', 'motorola', 'superior', 'dai', 'samsung', 'investir', 'em', 'gadgets', 'outras', 'funcionalidades', 'pois', 'perde', 'em', 'qualidade', 'de', 'sinal']",0.0,1,2,2
0_479022,"O meu irmão possui o aparelho e sempre fala muito bem sobre os quesitos marcados a cima!
A LG está revolucionando em questão de celulares todos dizem que a briga maior está entre APPLE e SAMSUNG mas na minha opinião a LG também está na briga pois os celulares dela estão arrasando!!!","o meu irmao possui o aparelho e sempre fala muito bem sobre os quesitos marcados a cima!
a lg esta revolucionando em questao de celulares todos dizem que a briga maior esta entre apple e samsung mas na minha opiniao a lg tambem esta na briga pois os celulares dela estao arrasando!!!","['meu', 'irmao', 'possui', 'aparelho', 'sempre', 'fala', 'muito', 'bem', 'sobre', 'os', 'quesitos', 'marcados', 'cima', 'lg', 'esta', 'revolucionando', 'em', 'questao', 'de', 'celulares', 'todos', 'dizem', 'que', 'briga', 'maior', 'esta', 'entre', 'apple', 'samsung', 'mas', 'na', 'minha', 'opiniao', 'lg', 'tambem', 'esta', 'na', 'briga', 'pois', 'os', 'celulares', 'dela', 'estao', 'arrasando']",1.0,5,3,3
2_263078,"Péssima qualidade;
Não funciona nenhuma das funções com menos de 01 ano;
Deveria ser retirado do mercado brasileiro um produto com tão baixa qualidade!!!

O que gostei: Apenas o layot

O que não gostei: Péssima qualidade; os botões não funcionaram com menos de 1 ano; o timer também deixou de funcionar; a grade interna estragou, hoje está pensa para um dos lados; O forno funciona apenas com uma temperatura e acima de 200º graus; A assistência técnica não existia e quando passaram a atender na região são péssimos no atendimentos.
Em resumo, estou trocando todos os produtos que tenho desta marca, pois não funcionam e são pura enganação não recomendo para ninguém!!!!","pessima qualidade;
nao funciona nenhuma das funcoes com menos de 01 ano;
deveria ser retirado do mercado brasileiro um produto com tao baixa qualidade!!!

o que gostei: apenas o layot

o que nao gostei: pessima qualidade; os botoes nao funcionaram com menos de 1 ano; o timer tambem deixou de funcionar; a grade interna estragou, hoje esta pensa para um dos lados; o forno funciona apenas com uma temperatura e acima de 200o graus; a assistencia tecnica nao existia e quando passaram a atender na regiao sao pessimos no atendimentos.
em resumo, estou trocando todos os produtos que tenho desta marca, pois nao funcionam e sao pura enganacao nao recomendo para ninguem!!!!","['pessima', 'qualidade', 'nao', 'funciona', 'nenhuma', 'das', 'funcoes', 'com', 'menos', 'de', '01', 'ano', 'deveria', 'ser', 'retirado', 'do', 'mercado', 'brasileiro', 'um', 'produto', 'com', 'tao', 'baixa', 'qualidade', 'que', 'gostei', 'apenas', 'layot', 'que', 'nao', 'gostei', 'pessima', 'qualidade', 'os', 'botoes', 'nao', 'funcionaram', 'com', 'menos', 'de', 'ano', 'timer', 'tambem', 'deixou', 'de', 'funcionar', 'grade', 'interna', 'estragou', 'hoje', 'esta', 'pensa', 'para', 'um', 'dos', 'lados', 'forno', 'funciona', 'apenas', 'com', 'uma', 'temperatura', 'acima', 'de', '200o', 'graus', 'assistencia', 'tecnica', 'nao', 'existia', 'quando', 'passaram', 'atender', 'na', 'regiao', 'sao', 'pessimos', 'no', 'atendimentos', 'em', 'resumo', 'estou', 'trocando', 'todos', 'os', 'produtos', 'que', 'tenho', 'desta', 'marca', 'pois', 'nao', 'funcionam', 'sao', 'pura', 'enganacao', 'nao', 'recomendo', 'para', 'ninguem']",0.0,1,6,6
0_434422,durabilidade muitooooooo bom mesmo tao tal que eu querooooooo outro pois o meu eu precisei vende porque tiver que muda de estado do mt pra pe entao tiver q vende mas querooo outro logooooooo,durabilidade muitooooooo bom mesmo tao tal que eu querooooooo outro pois o meu eu precisei vende porque tiver que muda de estado do mt pra pe entao tiver q vende mas querooo outro logooooooo,"['durabilidade', 'muitooooooo', 'bom', 'mesmo', 'tao', 'tal', 'que', 'eu', 'querooooooo', 'outro', 'pois', 'meu', 'eu', 'precisei', 'vende', 'porque', 'tiver', 'que', 'muda', 'de', 'estado', 'do', 'mt', 'pra', 'pe', 'entao', 'tiver', 'vende', 'mas', 'querooo', 'outro', 'logooooooo']",1.0,4,2,2
0_99412,"show d bola

O que gostei: sem cometario

O que não gostei: o frete","show d bola

o que gostei: sem cometario

o que nao gostei: o frete","['show', 'bola', 'que', 'gostei', 'sem', 'cometario', 'que', 'nao', 'gostei', 'frete']",1.0,5,4,4
0_244381,"Um produto de excelente, qualidade e durabilidade
","um produto de excelente, qualidade e durabilidade
","['um', 'produto', 'de', 'excelente', 'qualidade', 'durabilidade']",1.0,5,9,9
2_219901,"Exelente produto com otimos graficos, mas o valor ainda é muito aqui no Brasil.

O que gostei: Exelente produto com otimos graficos, mas o valor ainda é muito aqui no Brasil.

O que não gostei: Exelente produto com otimos graficos, mas o valor ainda é muito aqui no Brasil.","exelente produto com otimos graficos, mas o valor ainda e muito aqui no brasil.

o que gostei: exelente produto com otimos graficos, mas o valor ainda e muito aqui no brasil.

o que nao gostei: exelente produto com otimos graficos, mas o valor ainda e muito aqui no brasil.","['exelente', 'produto', 'com', 'otimos', 'graficos', 'mas', 'valor', 'ainda', 'muito', 'aqui', 'no', 'brasil', 'que', 'gostei', 'exelente', 'produto', 'com', 'otimos', 'graficos', 'mas', 'valor', 'ainda', 'muito', 'aqui', 'no', 'brasil', 'que', 'nao', 'gostei', 'exelente', 'produto', 'com', 'otimos', 'graficos', 'mas', 'valor', 'ainda', 'muito', 'aqui', 'no', 'brasil']",1.0,5,7,7
0_274318,"Já conheço o produto

O que gostei: Fundo plano

O que não gostei: Não economiza energia","ja conheco o produto

o que gostei: fundo plano

o que nao gostei: nao economiza energia","['ja', 'conheco', 'produto', 'que', 'gostei', 'fundo', 'plano', 'que', 'nao', 'gostei', 'nao', 'economiza', 'energia']",1.0,4,9,9
3_139329,"Estou muito satisfeito com aquisição, otima imagem som bom, e muitos recursos.

O que gostei: Custo beneficio otimo, preço o melhor do mercado,oferece recurso que outras mais caras não tem.

O que não gostei: Ate agora nada contra.","estou muito satisfeito com aquisicao, otima imagem som bom, e muitos recursos.

o que gostei: custo beneficio otimo, preco o melhor do mercado,oferece recurso que outras mais caras nao tem.

o que nao gostei: ate agora nada contra.","['estou', 'muito', 'satisfeito', 'com', 'aquisicao', 'otima', 'imagem', 'som', 'bom', 'muitos', 'recursos', 'que', 'gostei', 'custo', 'beneficio', 'otimo', 'preco', 'melhor', 'do', 'mercado', 'oferece', 'recurso', 'que', 'outras', 'mais', 'caras', 'nao', 'tem', 'que', 'nao', 'gostei', 'ate', 'agora', 'nada', 'contra']",1.0,4,4,4
